age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,num_credit_lines,existing_debt,num_dependents,debt_to_income_ratio,loan_to_income_ratio,monthly_emi_burden,emi_to_monthly_income,credit_tier,income_tier,age_group,financial_stress,employment_type_Freelancer,employment_type_Salaried,employment_type_Self-Employed,education_PhD,education_Post-Graduate,education_Under-Graduate,property_ownership_Own,property_ownership_Rent,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Personal
64,28129,27795,36,681.0,2.8,7.0,35437,0,1.2598,0.9881,772.08,0.3294,4,2,5,0.8992,False,True,False,False,True,False,True,False,False,False,True,False
58,37421,32229,48,569.0,3.5,13.0,33261,2,0.8888,0.8613,671.44,0.2153,2,2,5,0.6785,False,False,True,True,False,False,True,False,False,False,False,False
56,61365,50906,36,780.0,5.5,11.0,4649,5,0.0758,0.8296,1414.06,0.2765,5,3,5,0.3622,False,False,False,False,False,True,False,False,False,False,False,True
40,36880,28471,36,731.0,1.8,2.0,6921,4,0.1877,0.772,790.86,0.2573,4,2,3,0.3839,False,True,False,False,True,False,False,True,True,False,False,False
22,66758,224227,60,509.0,6.3,10.0,88579,1,1.3269,3.3588,3737.12,0.6718,1,3,1,1.7399,True,False,False,False,False,True,False,False,False,False,True,False
54,104479,103491,48,617.0,5.3,11.0,14860,3,0.1422,0.9905,2156.06,0.2476,2,4,4,0.4283,False,True,False,False,False,True,False,True,False,False,True,False
40,66169,79113,12,592.0,1.1,10.0,64222,0,0.9706,1.1956,6592.75,1.1956,2,3,3,1.1056,False,True,False,False,False,False,True,False,False,True,False,False
38,61824,226346,24,514.0,13.7,1.0,40574,0,0.6563,3.6611,9431.08,1.8306,1,3,3,1.91,False,False,True,False,False,False,False,False,False,False,True,False
35,35579,96122,36,588.0,14.6,12.0,11300,2,0.3176,2.7016,2670.06,0.9006,2,2,2,1.2077,False,False,True,False,True,False,True,False,False,False,False,False
51,67252,207214,36,654.0,0.1,1.0,70613,3,1.05,3.0812,5755.94,1.0271,3,3,4,1.6525,False,True,False,True,False,False,True,False,False,False,False,True
60,51364,59356,36,695.0,3.0,5.0,60733,1,1.1824,1.1556,1648.78,0.3852,4,3,5,0.9352,False,True,False,False,False,False,False,False,True,False,False,False
25,52118,137060,60,679.0,6.2,9.0,9183,0,0.1762,2.6298,2284.33,0.526,3,3,1,1.0172,False,True,False,False,False,False,False,True,False,False,True,False
39,77227,147749,36,754.0,6.2,10.0,74372,2,0.963,1.9132,4104.14,0.6377,5,3,3,1.1505,False,False,True,False,False,False,False,False,False,False,False,False
46,76017,163582,36,546.0,6.4,13.0,57081,5,0.7509,2.1519,4543.94,0.7173,1,3,4,1.1611,False,True,False,False,False,False,False,False,False,False,False,False
62,72830,85085,36,703.0,1.8,10.0,99460,0,1.3656,1.1683,2363.47,0.3894,4,3,5,1.0136,False,True,False,False,True,False,True,False,False,False,True,False
43,50734,185430,60,609.0,2.5,10.0,5684,2,0.112,3.6549,3090.5,0.731,2,3,3,1.3606,False,False,True,False,True,False,False,True,False,False,False,False
42,62475,84842,60,697.0,3.1,8.0,28505,4,0.4563,1.358,1414.03,0.2716,4,3,3,0.6714,False,True,False,False,False,False,False,True,False,False,True,False
