customer_id,age,annual_income,loan_amount,loan_term_months,credit_score,employment_years,num_credit_lines,existing_debt,num_dependents,employment_type,education,property_ownership,loan_purpose,default
CUST00001,60,96831,162254,48,713.0,4.7,11.0,3933,1,Salaried,PhD,Mortgage,Home,0
CUST00002,50,54292,187383,24,630.0,5.8,11.0,30228,3,Business,Under-Graduate,Rent,Home,1
CUST00003,36,15203,9053,12,786.0,1.3,1.0,14334,1,Self-Employed,Graduate,Mortgage,Business,0
CUST00004,64,41502,54186,12,522.0,12.8,7.0,12255,1,Self-Employed,Under-Graduate,Rent,Education,0
CUST00005,29,51325,188219,36,655.0,4.9,11.0,51783,0,Salaried,Graduate,Mortgage,Car,1
CUST00006,42,33040,90517,36,612.0,0.6,4.0,41079,2,Salaried,Graduate,Mortgage,Business,1
CUST00007,60,15000,19409,36,704.0,0.1,4.0,840,1,Self-Employed,Graduate,Mortgage,Home,0
CUST00008,40,53042,67204,48,622.0,0.1,3.0,48052,3,Self-Employed,Graduate,Own,Personal,0
CUST00009,44,39302,138310,24,843.0,0.3,,34229,3,Salaried,Graduate,Rent,Car,0
CUST00010,32,90453,328177,36,723.0,12.1,2.0,106112,3,Freelancer,Post-Graduate,Rent,Education,0
CUST00011,32,57020,79626,48,570.0,2.2,7.0,59657,3,Salaried,Graduate,Mortgage,Personal,0
CUST00012,45,64391,126965,36,436.0,1.8,12.0,43910,4,Salaried,Graduate,Rent,Education,0
CUST00013,57,52618,180010,48,558.0,2.7,10.0,27981,2,Self-Employed,Post-Graduate,Rent,Business,0
CUST00014,61,56874,181912,36,694.0,2.6,8.0,84086,4,Salaried,Graduate,Own,Business,0
CUST00015,45,21954,73517,36,628.0,1.4,2.0,16524,0,Salaried,Graduate,Own,Car,0
CUST00016,24,34196,79143,24,604.0,0.5,8.0,20924,1,Salaried,PhD,Rent,Home,1
CUST00017,43,76772,283321,60,592.0,0.6,7.0,114352,1,Salaried,Graduate,Own,Car,0
CUST00018,23,59189,97119,60,716.0,4.6,10.0,16025,4,Salaried,Post-Graduate,Own,Home,0
CUST00019,45,47029,49302,60,623.0,,8.0,13130,2,Salaried,Post-Graduate,Mortgage,Car,0
CUST00020,51,64723,192910,36,615.0,11.6,3.0,94800,5,Salaried,Under-Graduate,Own,Home,0
CUST00021,59,65117,155482,48,729.0,3.1,6.0,64240,5,Business,PhD,Own,Car,0
CUST00022,23,94817,331010,36,774.0,3.5,1.0,73920,2,Self-Employed,Post-Graduate,Own,Home,0
CUST00023,42,58261,45679,36,560.0,13.2,7.0,5923,5,Self-Employed,Graduate,Rent,Business,0
CUST00024,54,33749,116532,48,744.0,3.5,11.0,18014,2,Salaried,Graduate,Rent,Personal,1
CUST00025,33,52686,80426,24,641.0,3.5,4.0,34246,4,Business,Under-Graduate,Mortgage,Home,0
CUST00026,43,67151,187485,24,723.0,2.3,4.0,51511,0,Self-Employed,Graduate,Own,Education,0
CUST00027,46,74913,47978,36,702.0,6.2,12.0,49056,1,Salaried,Post-Graduate,Rent,Car,0
CUST00028,48,22699,59778,48,651.0,2.5,12.0,14916,4,Salaried,Under-Graduate,Mortgage,Education,0
CUST00029,63,60074,180849,36,654.0,4.4,14.0,89645,4,Salaried,Graduate,Mortgage,Personal,0
CUST00030,49,37054,66349,36,703.0,3.0,9.0,54135,5,Freelancer,Post-Graduate,Own,Business,0
CUST00031,37,43667,54755,60,562.0,3.8,7.0,5646,2,Salaried,Graduate,Rent,Business,0
CUST00032,36,71916,171282,36,558.0,8.8,8.0,18190,4,Salaried,Graduate,Mortgage,Car,0
CUST00033,24,69924,238872,24,816.0,2.7,6.0,98761,4,Salaried,Under-Graduate,Mortgage,Business,0
CUST00034,58,41436,67640,36,743.0,,2.0,19827,3,Freelancer,Post-Graduate,Mortgage,Home,0
CUST00035,28,51843,71732,48,729.0,4.2,3.0,47556,2,Salaried,Under-Graduate,Rent,Business,0
CUST00036,42,44278,65366,12,637.0,13.9,4.0,52991,0,Salaried,Under-Graduate,Own,Car,0
CUST00037,30,112834,431247,36,,5.9,2.0,79695,1,Salaried,PhD,Rent,Car,0
CUST00038,60,60567,106444,12,607.0,1.8,11.0,1509,0,Self-Employed,Under-Graduate,Own,Education,0
CUST00039,39,38210,19587,36,682.0,16.5,1.0,47461,2,Salaried,Under-Graduate,Own,Business,0
CUST00040,25,81443,263540,24,742.0,2.1,13.0,92385,0,Business,Post-Graduate,Rent,Car,0
CUST00041,46,82149,242131,36,,20.4,9.0,5105,4,Business,Graduate,Own,Car,0
CUST00042,35,90833,86290,36,686.0,1.1,13.0,122266,0,Salaried,Graduate,Rent,Education,0
CUST00043,30,96759,381923,60,636.0,35.0,12.0,124385,3,Business,Post-Graduate,Rent,Car,0
CUST00044,47,69154,181751,48,701.0,0.4,10.0,28530,2,Salaried,Graduate,Mortgage,Car,0
CUST00045,23,48002,108135,60,577.0,6.2,14.0,5770,4,Salaried,Graduate,Mortgage,Business,0
CUST00046,41,50947,93628,48,659.0,6.7,2.0,30810,0,Salaried,Post-Graduate,Own,Personal,0
CUST00047,49,49158,179198,12,631.0,5.7,11.0,64512,4,Business,Graduate,Rent,Car,0
CUST00048,28,46924,63529,24,765.0,7.5,5.0,33955,3,Self-Employed,Graduate,Mortgage,Car,0
CUST00049,29,79798,119712,60,421.0,3.2,7.0,33703,4,Salaried,Graduate,Own,Car,0
CUST00050,56,55014,51077,36,637.0,0.3,,19125,1,Salaried,Graduate,Mortgage,Business,0
CUST00051,35,74428,234963,60,669.0,2.2,11.0,39636,5,Self-Employed,Post-Graduate,Own,Personal,0
CUST00052,38,68530,177110,24,501.0,5.1,2.0,102173,5,Business,Post-Graduate,Rent,Personal,0
CUST00053,57,33026,86915,24,709.0,5.2,6.0,43516,3,Business,Graduate,Own,Car,0
CUST00054,61,20656,26122,36,639.0,1.1,10.0,16949,3,Business,Graduate,Rent,Car,0
CUST00055,25,30266,84111,36,573.0,1.5,11.0,36701,2,Salaried,Graduate,Own,Car,0
CUST00056,23,46465,147717,24,731.0,3.3,8.0,22043,2,Salaried,Post-Graduate,Own,Car,0
CUST00057,27,57686,101101,36,590.0,6.5,14.0,53233,2,Freelancer,Graduate,Rent,Car,0
CUST00058,63,42033,138907,36,714.0,9.6,14.0,55026,1,Business,Graduate,Own,Home,0
CUST00059,25,69061,118837,36,664.0,0.5,13.0,38089,4,Self-Employed,Under-Graduate,Mortgage,Education,0
CUST00060,50,44446,140159,12,617.0,13.0,7.0,53361,1,Salaried,Graduate,Own,Business,0
CUST00061,39,60139,37169,48,569.0,13.1,6.0,55417,0,Freelancer,Post-Graduate,Rent,Personal,0
CUST00062,47,57351,139309,36,592.0,0.0,12.0,52937,0,Salaried,Graduate,Mortgage,Business,0
CUST00063,55,89688,349186,36,720.0,3.5,11.0,5528,2,Self-Employed,Graduate,Rent,Business,0
CUST00064,31,35495,139649,36,742.0,4.4,8.0,47878,1,Salaried,Under-Graduate,Rent,Car,1
CUST00065,57,99168,147376,60,705.0,4.0,2.0,115452,1,Business,Graduate,Mortgage,Home,0
CUST00066,35,43113,88161,36,647.0,4.8,4.0,2358,5,Business,Graduate,Mortgage,Business,1
CUST00067,52,28198,20314,60,705.0,3.5,4.0,25832,2,Salaried,Graduate,Mortgage,Home,0
